709: min fit = 0.00122194, time = 0
710: min fit = 0.00122194, time = 0
711: min fit = 0.00122194, time = 0
712: min fit = 0.00122194, time = 1
713: min fit = 0.00122194, time = 0
714: min fit = 0.00122194, time = 0
715: min fit = 0.00122194, time = 0
716: min fit = 0.00122194, time = 0
717: min fit = 0.00122194, time = 0
718: min fit = 0.00122194, time = 0
719: min fit = 0.00122194, time = 0
720: min fit = 0.00122194, time = 0
721: min fit = 0.00122194, time = 1
722: min fit = 0.00122194, time = 0
723: min fit = 0.00122194, time = 0
724: min fit = 0.00122194, time = 0
725: min fit = 0.00122194, time = 0
726: min fit = 0.00122194, time = 0
727: min fit = 0.00122194, time = 0
728: min fit = 0.00122194, time = 0
729: min fit = 0.00122194, time = 0
730: min fit = 0.00122194, time = 0
731: min fit = 0.00122194, time = 0
732: min fit = 0.00122194, time = 0
733: min fit = 0.00122194, time = 0
734: min fit = 0.00122194, time = 0
735: min fit = 0.00122194, time = 1
736: min fit = 0.00122194, time = 0
737: min fit = 0.00122194, time = 0
738: min fit = 0.00122194, time = 0
739: min fit = 0.00122194, time = 0
740: min fit = 0.00122194, time = 0
741: min fit = 0.00122194, time = 0
742: min fit = 0.00122194, time = 0
743: min fit = 0.00122194, time = 0
744: min fit = 0.00122194, time = 0
745: min fit = 0.00122194, time = 0
746: min fit = 0.00122194, time = 0
747: min fit = 0.00122194, time = 0
748: min fit = 0.00122194, time = 1
749: min fit = 0.00122194, time = 0
750: min fit = 0.00122194, time = 0
751: min fit = 0.00122194, time = 0
752: min fit = 0.00122194, time = 0
753: min fit = 0.000493346, time = 0
754: min fit = 0.000493346, time = 0
755: min fit = 0.000493346, time = 0
756: min fit = 0.000493346, time = 0
757: min fit = 0.000493346, time = 0
758: min fit = 0.000493346, time = 0
759: min fit = 0.000493346, time = 0
760: min fit = 0.000493346, time = 0
761: min fit = 0.000493346, time = 0
762: min fit = 0.000493346, time = 0
763: min fit = 0.000493346, time = 1
764: min fit = 0.000493346, time = 0
765: min fit = 0.000493346, time = 0
766: min fit = 0.000493346, time = 0
767: min fit = 0.000493346, time = 0
768: min fit = 0.000493346, time = 0
769: min fit = 0.000493346, time = 0
770: min fit = 0.000493346, time = 0
771: min fit = 0.000493346, time = 1
772: min fit = 0.000493346, time = 0
773: min fit = 0.000493346, time = 0
774: min fit = 0.000493346, time = 1
775: min fit = 0.000493346, time = 0
776: min fit = 0.000493346, time = 0
777: min fit = 0.000493346, time = 0
778: min fit = 0.000493346, time = 0
